date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:33	125/125	---MCZ	200	added ('OK')	text/plain	date:Fri,%2029%20Jul%202022%2003:09:08%20GMT	http://thicongsonnuoclocphat.com/robots.txt		(from )
10:09:35	121397/121397	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Jul%202022%2003:09:10%20GMT	http://thicongsonnuoclocphat.com/	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/index.html	(from )
10:09:35	156/156	---M--	200	added ('Not%20Acceptable')	text/html	date:Fri,%2029%20Jul%202022%2003:09:11%20GMT	http://thicongsonnuoclocphat.com/xmlrpc.php	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/xmlrpc.html	(from http://thicongsonnuoclocphat.com/)
10:09:36	4771/4771	---MCZ	200	added ('OK')	application/javascript	etag:W/%226215b3f9-12a3%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	(from http://thicongsonnuoclocphat.com/)
10:09:37	10850/10850	---MCZ	200	added ('OK')	application/javascript	etag:W/%226215b3f9-2a62%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	(from http://thicongsonnuoclocphat.com/)
10:09:38	792/792	---MC-	200	added ('OK')	application/rss+xml	etag:%22608fe0d5a53b6e834f994a0534ac71a4%22	http://thicongsonnuoclocphat.com/comments/feed/	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/comments/feed/index.html	(from http://thicongsonnuoclocphat.com/)
10:09:39	17217/17217	---MC-	200	added ('OK')	application/rss+xml	etag:%22608fe0d5a53b6e834f994a0534ac71a4%22	http://thicongsonnuoclocphat.com/feed/	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/feed/index.html	(from http://thicongsonnuoclocphat.com/)
10:09:39	16876/16876	---MCZ	200	added ('OK')	application/javascript	etag:W/%226215b3f9-41ec%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.29144c1c.js	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.29144c1c.js	(from http://thicongsonnuoclocphat.com/)
10:09:40	20237/20237	---MCZ	200	added ('OK')	application/javascript	etag:W/%226215b3f9-4f0d%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.947eca5c.js	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.947eca5c.js	(from http://thicongsonnuoclocphat.com/)
10:09:41	49648/49648	---MCZ	200	added ('OK')	application/javascript	etag:W/%226215b3f9-c1f0%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js	(from http://thicongsonnuoclocphat.com/)
10:09:43	178014/178014	---MCZ	200	added ('OK')	text/css	etag:W/%226215b3f9-2b75e%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.15.3	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/css/flatsomeb73d.css	(from http://thicongsonnuoclocphat.com/)
10:09:44	12156/12156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226215b3f9-2f7c%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot?v=3.15.3	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/css/icons/fl-icons8af9.eot	(from http://thicongsonnuoclocphat.com/)
10:09:45	12156/12156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226215b3f9-2f7c%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	(from http://thicongsonnuoclocphat.com/)
10:09:45	6752/6752	---M--	200	added ('OK')	font/woff2	etag:%226215b3f9-1a60%22	http://thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/css/icons/fl-icons.woff2?v=3.15.3	/Users/duckie2910/Documents/website-projects/thi_cong_son_nuoc%20/thicongsonnuocgiare/thicongsonnuoclocphat.com/wp-content/themes/flatsome/assets/css/icons/fl-icons8af9.woff2	(from http://thicongsonnuoclocphat.com/)
